t                            N(t)               C(t)

For case 1

6.5               8.1186946729124e-12               222.0626253263159
6.6               5.777605989455111e-12               219.85306544472542
6.7               3.787666196579899e-12               217.66549095250306
6.8               3.063807375213683e-12               215.49968313323674
6.9               2.9325557497175034e-12               213.35542538416465
7.0               3.097863407681285e-12               211.2325032816212
7.1               4.639803356714592e-12               209.13070460360493
7.2               7.961375874685028e-12               207.0498192170386
7.3               1.2180073616696864e-11               204.98963901953942
7.4               1.5337428341981084e-11               202.94995792859297
7.5               1.7929516801286465e-11               200.93057204245875
7.6               1.906490317242621e-11               198.93127941982888
7.7               1.759108150477076e-11               196.95188011641602
7.8               1.3886886880171543e-11               194.99217620991277
7.9               1.0815833691913712e-11               193.0519718028194
8.0               5.929610123615105e-12               191.13107279448448
8.1               -1.014509510783311e-12               189.2292870570679
8.2               -1.022849611637652e-11               187.3464243558595
8.3               -2.089794512366116e-11               185.48229641087565
8.4               -2.9591983095584984e-11               183.63671700883205
8.5               -3.676824533220562e-11               181.8095014291223
8.6               -4.0905921575549525e-11               180.0004669182222
8.7               -4.012063238408521e-11               178.20943253006632
8.8               -3.363179465698817e-11               176.43621915151317
8.9               -2.6812174922438328e-11               174.6806496367289
9.0               -1.5430324445431175e-11               172.9425483089153
9.1               1.0005429109645663e-12               171.22174134704102
9.2               2.2876411954438623e-11               169.5180566555917
9.3               4.952820907101684e-11               167.83132385913353
9.4               7.247846684709762e-11               166.16137437631193
9.5               9.304857006852751e-11               164.5080411585635
9.6               1.0797265914228924e-10               162.87115886934922
9.7               1.1319691557343411e-10               161.2505638129903
9.8               1.0460814145183737e-10               159.64609392147705
9.9               9.273792198267107e-11               158.05758882433878
10.0               6.803679166293824e-11               156.48488962473624



For case 2

0.0               100.0               6.0
0.1               130.39285812025062               64.45698756950289
0.2               27.792032438171034               351.35731418620776
0.3               0.9017805707434333               405.44001217552966
0.4               0.02645448675123872               399.37976433337815
0.5               0.0008359951127950462               391.52926128737477
0.6               2.8566608597535842e-05               383.77828793571507
0.7               1.0538916452960076e-06               376.17903107142934
0.8               4.1390837565296714e-08               368.73018869692595
0.9               2.2888544770118987e-09               361.42884287882015
1.0               -6.669422856803354e-09               354.27207382039325
1.1               -4.45883616007135e-10               347.25701549202734
1.2               7.234581320413164e-09               340.38087227235627
1.3               2.885425826028006e-09               333.6408798319386
1.4               -5.703041812720316e-09               327.0343445513467
1.5               -2.404355922543792e-09               320.5586321289819
1.6               7.703908063382962e-10               314.21114381656355
1.7               3.717537420052748e-10               307.9893493723851
1.8               1.370832933624401e-10               301.8907520075183
1.9               -5.918593638104928e-10               295.912915179358
2.0               4.252698689709347e-09               290.05344806296733
2.1               1.094298152592153e-08               284.3100060470102
2.2               4.747756148256441e-09               278.6802916360708
2.3               -3.075312609543153e-10               273.1620523213979
2.4               1.2129624146772858e-09               267.75308148503353
2.5               1.1282100571579015e-10               262.4512152705838
2.6               1.4362027648835338e-11               257.2543330656264
2.7               1.239777410935945e-10               252.16035651823785
2.8               8.516453557757055e-11               247.16724751135777
2.9               -6.855669261027343e-11               242.27300858017773
3.0               1.7140181273875262e-09               237.47568232105658
3.1               6.394971040187063e-09               232.7733486841716
3.2               -1.481918248350765e-09               228.1641275811788
3.3               1.4431599083103922e-09               223.64617514257125
3.4               5.865911589583784e-11               219.21768420119741
3.5               2.7341591032983145e-12               214.87688326423344
3.6               4.188036281587534e-12               210.62203602087342
3.7               1.2307963504334903e-11               206.45144045878476
3.8               2.2535034749752342e-11               202.36342837845345
3.9               4.5562353945582287e-10               198.35636479799356
4.0               1.9787817748476948e-09               194.4286453999641
4.1               5.741994253724148e-09               190.57869832638087
4.2               1.0741778242690439e-08               186.8049866627608
4.3               8.828728402312554e-10               183.10600009241938
4.4               9.42800005375473e-10               179.48025836384463
4.5               1.142504147130262e-10               175.92631119029534
4.6               -2.7536411663591583e-11               172.4427369147079
4.7               9.52520918139801e-12               169.0281420346907
4.8               2.53467816873983e-11               165.6811607541534
4.9               1.538194037180639e-10               162.40045406571244
5.0               1.3297576752816884e-10               159.1847090534487
5.1               -4.5696209102690993e-10               156.0326404652003
5.2               -1.270061094403772e-09               152.94298711865486
5.3               -1.5038458439942672e-09               149.91451299398707
5.4               -2.560101416225183e-10               146.9460063549671
5.5               1.4535197101969349e-09               144.03628079858748
5.6               1.0309040991814739e-09               141.18417183556625
5.7               -1.3910203424665253e-10               138.38853857381503
5.8               1.1974423804353663e-10               135.64826254442463
5.9               3.6816513972879916e-10               132.9622471156994
6.0               -6.908991137508945e-10               130.32941791484043
6.1               -3.3996595079687264e-09               127.74872166858754
6.2               -5.9735138300168905e-09               125.21912724350912
6.3               -5.655191021084321e-09               122.739622318383
6.4               -1.3950995609880238e-09               120.30921488304028
6.5               2.7767620256218682e-09               117.92693105328344
6.6               3.3271650240807847e-09               115.59182293483178
6.7               2.9864680892055945e-10               113.3029516991771
6.8               3.243150332651853e-10               111.05940327631828
6.9               2.968877281593808e-10               108.8602801409601
7.0               8.362214549302132e-11               106.70470263829698
7.1               7.416285984637991e-11               104.59180843886753
7.2               4.983673035756694e-11               102.52075229550596
7.3               2.3358851526034253e-11               100.49070577636242
7.4               1.570578075763496e-11               98.50085640114767
7.5               2.2957108777271173e-11               96.5504084686815
7.6               2.9436509911956536e-11               94.63858160929448
7.7               2.4351385244319837e-11               92.76461209222299
7.8               1.391878368746506e-11               90.92774966188429
7.9               5.4428824838988205e-12               89.12725951935555
8.0               5.765579225699127e-12               87.36242150233491
8.1               7.59414951981253e-12               85.63252959806132
8.2               9.063989658268347e-12               83.93689170816498
8.3               9.558501903356403e-12               82.27482951579302
8.4               -1.4224652906057514e-12               80.64567849886919
8.5               -2.756857421832822e-11               79.04878722495334
8.6               -5.380606656084829e-11               77.48351682452362
8.7               -7.834756317639552e-11               75.94924084956467
8.8               -1.001038410747975e-10               74.4453451677653
8.9               -1.1168718191756887e-10               72.97122863444557
9.0               -1.1042519912126149e-10               71.52630157911743
9.1               -9.638785029377342e-11               70.10998592750711
9.2               -7.366569028003212e-11               68.72171521469767
9.3               -5.057215560868447e-11               67.360934122483
9.4               -3.945893571790373e-11               66.02709827503809
9.5               -3.86398029388449e-11               64.7196741542649
9.6               -4.29402690012972e-11               63.438138786796316
9.7               -4.5759777540674005e-11               62.18197950437787
9.8               -4.416493401456472e-11               60.95069382360788
9.9               -4.1801846335876655e-11               59.743789257786
10.0               -3.783174768339508e-11               58.56078299623224



For case 3

0.0               100.0               6.0
0.1               130.59238507554048               63.872225067973034
0.2               28.34508544020414               348.64199463180586
0.3               0.9552398701929979               400.13930376747544
0.4               0.030096781392439532               390.3826957822936
0.5               0.0010597999402949766               378.9103620335535
0.6               4.180364501311103e-05               367.71416572750576
0.7               1.840869872183448e-06               356.84666037736656
0.8               9.105135440998686e-08               346.30025172606105
0.9               4.757686820062527e-09               336.06553282318004
1.0               2.734450258461475e-10               326.13329539714834
1.1               -2.178329754823096e-10               316.49460079855294
1.2               9.134390077185517e-11               307.140772722566
1.3               -1.1122049065366216e-09               298.0633914634024
1.4               -2.8201748708153496e-10               289.25428697679024
1.5               -1.3155070232534111e-11               280.7055309055546
1.6               -1.2099498393019786e-12               272.40942883011337
1.7               -7.12419378400973e-11               264.35851412177016
1.8               -7.433438106051165e-10               256.54553857241103
1.9               -2.141764033147996e-09               248.96347126468842
2.0               -2.7441793890980657e-09               241.60548849151303
2.1               2.2222288760793546e-10               234.4649638798668
2.2               5.67388618627559e-09               227.53547980448764
2.3               2.400976979334277e-10               220.81079063997205
2.4               3.1962246180078845e-10               214.2848458688819
2.5               7.594341886140143e-11               207.95177182754372
2.6               -1.0059749223485804e-09               201.8058679687573
2.7               -2.3382732607518837e-09               195.84160279111765
2.8               1.6119327913672688e-10               190.05360862620762
2.9               1.6524887254329047e-09               184.4366755446741
3.0               2.236370752149078e-10               178.98574827262482
3.1               5.424529515432503e-11               173.69592039485354
3.2               2.538775081685635e-11               168.56243064729094
3.3               3.7586733174217695e-12               163.58065859865442
3.4               1.3668190482568212e-10               158.74611942951486
3.5               4.775455533943727e-10               154.0544601168789
3.6               7.62065790053748e-10               149.50146244599873
3.7               4.28988949386066e-10               145.08302625247453
3.8               -2.741541592989049e-10               140.79517457290018
3.9               -5.609917217805165e-10               136.6340479112965
4.0               4.290229065038936e-10               132.59590075585402
4.1               3.029404009307318e-09               128.6770980389727
4.2               7.4199557779546776e-09               124.87411488320063
4.3               1.19953293983976e-08               121.18352894569593
4.4               1.3637457462872324e-08               117.6020163307089
4.5               9.829577268648234e-09               114.12635093411897
4.6               2.500202537533194e-09               110.753406862154
4.7               -4.324669082369323e-09               107.48014930303131
4.8               -3.811185607813601e-09               104.30363108059358
4.9               4.714397550608945e-09               101.2209928823267
5.0               1.0835938364049135e-08               98.22946041851279
5.1               9.155681252496864e-09               95.32634116484992
5.2               -9.011651401844215e-10               92.50902207866808
5.3               -1.2025183950555187e-08               89.7749673845111
5.4               -9.229521543992986e-09               87.12171605777687
5.5               2.784667955357673e-09               84.54688027469643
5.6               7.752013933930328e-09               82.04814230218741
5.7               4.651951859637982e-09               79.62325320825929
5.8               3.4278429314892606e-09               77.27003039569297
5.9               3.022871204844909e-09               74.98635582303837
6.0               2.277750078487146e-09               72.77017403790573
6.1               1.783404797258502e-09               70.61949027167117
6.2               1.491961875247375e-09               68.53236868847432
6.3               1.289475655431951e-09               66.50693088195136
6.4               1.102064637994052e-09               64.54135388650649
6.5               9.531749547721223e-10               62.633868433531056
6.6               8.497046319196898e-10               60.78275765397428
6.7               7.705976027952602e-10               58.98635555103853
6.8               7.106156175826443e-10               57.243045123787034
6.9               6.642419397833336e-10               55.55125706960901
7.0               6.310382609770411e-10               53.90946904047197
7.1               6.096717808361662e-10               52.316203885426795
7.2               5.967565620564108e-10               50.77002714607237
7.3               5.970376326424798e-10               49.2695460092931
7.4               6.070169016128595e-10               47.81341063369902
7.5               6.246353155082835e-10               46.40031085427497
7.6               6.517037233710835e-10               45.028974506558015
7.7               6.895411741129531e-10               43.698167195113236
7.8               7.392224070395459e-10               42.40669118278056
7.9               8.026312018667654e-10               41.15338406452356
8.0               8.822621363875035e-10               39.93711776473775
8.1               9.814703064348477e-10               38.7567975750666
8.2               1.1046079764920646e-09               37.611361109252634
8.3               1.2573372253420961e-09               36.499777414946394
8.4               1.4470729150194446e-09               35.42104601003987
8.5               1.6838253681932657e-09               34.3741960677442
8.6               1.9798344507195234e-09               33.358285293467205
8.7               2.3502632761090274e-09               32.372399090758
8.8               2.8170284295212055e-09               31.415650038112652
8.9               3.4094844101175867e-09               30.487177076548598
9.0               4.163812359354012e-09               29.5861445970395
9.1               5.12657557277361e-09               28.71174182544011
9.2               6.366869926949195e-09               27.863181657601142
9.3               7.97507967102019e-09               27.039700253626584
9.4               1.006967269968377e-08               26.240556359346442
